Store_Name,Address,City_State_Zip,Phone_Number,State
Ahwatukee West,4836 E. Chandler Blvd,"Phoenix, AZ  85048",(480) 592-9090,AZ
Arrowhead (Esporta),5536 W. Bell Road,"Glendale, AZ  85308",(602) 547-9425,AZ
Avondale (Esporta),13035 W. Rancho Santa FE Blvd.,"Avondale, AZ  85392",(623) 535-8700,AZ
Camelback @ I-51,2077 East Camelback Road,"Phoenix, AZ  85016",(602) 241-9800,AZ
Chandler (Esporta),2100 N. Dobson Road,"Chandler, AZ  85224",(480) 782-7560,AZ
Chandler - Arizona Ave,3985 S Arizona Ave,"Chandler, AZ  85248",(480) 426-7819,AZ
Desert Sky (Esporta),7640 W. Thomas Road,"Phoenix, AZ  85033",(623) 845-9920,AZ
Gilbert - S. Gilbert Rd. (Esporta),3625 S Gilbert Rd,"Gilbert, AZ  85297",(480) 845-6594,AZ
Gilbert - S. Higley/Loop 202,1310 S Higley Road,"Gilbert, AZ  85296",(480) 448-4743,AZ
Glendale - Peoria Avenue (Esporta),5810 W. Peoria Avenue,"Glendale, AZ  85302",(602) 362-0109,AZ
Goodyear (Esporta),1382 South Cotton Lane,"Goodyear, AZ  85338",(480) 422-6088,AZ
Laveen,5175 W Baseline Rd,"Laveen, AZ  85339",(602) 904-7425,AZ
Marana,5885 W Arizona Pavilions Dr,"Marana, AZ  85743",(520) 342-0809,AZ
Mccormick Ranch,7365 N. Via Paseo Del Sur,"Scottsdale, AZ  85258",(480) 483-3100,AZ
Mesa - N. Power Rd.,2605 North Power Road,"Mesa, AZ  85215",(480) 296-0242,AZ
Mesa- Rio Salado Pkwy/Dobson (Esporta),1844 W Rio Salado Parkway,"Mesa, AZ  85201",(480) 296-2381,AZ
Mesa/Greenfield (Esporta),1731 S Greenfield Rd,"Mesa, AZ  85206",(480) 635-9600,AZ
Mesa/Superstition,1905 South Signal Butte,"Mesa, AZ  85209",(480) 984-4900,AZ
Mesa/University (Esporta),445 N Stapley Drive,"Mesa, AZ  85203",(480) 751-1992,AZ
Moon Valley/Phoenix North,244 East Greenway Pkwy.,"Phoenix, AZ  85022",(602) 863-3830,AZ
Oro Valley,8850 N Oracle Rd,"Oro Valley, AZ  85704",(520) 918-4386,AZ
Paradise Valley (Esporta),11630 Tatum Blvd.,"Phoenix, AZ  85028",(602) 404-4700,AZ
Peoria West - N 91st (Esporta),8160 N 91st Avenue,"Peoria, AZ  85345",(623) 877-3640,AZ
Phoenix Baseline @ 24th Street (Esporta),2325 E Baseline Rd,"Phoenix, AZ  85042",(623) 255-3391,AZ
Phoenix E Bell Rd/ N 32nd St (Esporta),3301 E Bell Rd,"Phoenix, AZ  85032",(602) 567-0240,AZ
Phoenix West Camelback @7th Ave,710 West Camelback Road,"Phoenix, AZ  85013",(602) 282-0243,AZ
Phoenix-Northern Ave (Esporta),2200 W Northern Ave,"Phoenix, AZ  85021",(602) 995-1234,AZ
Queen Creek (Esporta),7225 South Power Rd Building A,"Queen Creek, AZ  85142",(480) 988-6262,AZ
San Tan Valley,40885 N. Ironwood Drive,"San Tan Valley, AZ  85140",(480) 448-4744,AZ
Scottsdale - Shea Blvd (Esporta),7330 E Shea Blvd,"Scottsdale, AZ  85260",(480) 348-0006,AZ
Scottsdale -Scottsdale Rd,1900 N. Scottsdale Road,"Scottsdale, AZ  85257",(480) 675-7600,AZ
Surprise (Esporta),16635 W Bell Rd,"Surprise, AZ  85374",(602) 491-9467,AZ
Tempe,63 E. Southern Avenue,"Tempe, AZ  85282",(480) 829-0622,AZ
Tolleson (Esporta),9880 West Lower Buckeye Road,"Tolleson, AZ  85353",(602) 734-1363,AZ
Tucson - Wilmot Rd.,240 South Wilmot Rd,"Tucson, AZ  85711",(520) 748-1295,AZ
Tucson Central - 1st Ave,4240 N 1st Ave,"Tucson, AZ  85719",(520) 888-4900,AZ
Tucson North - West Ina Road,2950 West Ina Road,"Tucson, AZ  85741",(520) 742-2881,AZ
Tucson SE - East Golf Links,9350 East Golf Links Rd,"Tucson, AZ  85730",(520) 399-8244,AZ
