Store_Name,Address,City_State_Zip,Phone_Number,State
4S Ranch,16913 Dove Canyon Rd,"San Diego, CA  92127",(858) 676-6806,CA
Agoura Hills (Signature),5075 Roadside Rd,"Agoura Hills, CA  91301",(747) 212-9535,CA
Alhambra,412 East Main Street,"Alhambra, CA  91801",(626) 299-5980,CA
Alhambra/Fremont,920 South Fremont Ave,"Alhambra, CA  91803",(626) 310-3030,CA
Anaheim Hills,5757 Santa Ana Canyon Rd.,"Anaheim Hills, CA  92807",(714) 282-3931,CA
Arcadia,1325 South Baldwin Avenue,"Arcadia, CA  91007",(626) 400-5001,CA
Baldwin Park - E Garvey Ave,13822 Garvey Ave,"Baldwin Park, CA  91706",(626) 521-5293,CA
Beverly Hills - Wilshire Blvd. (Signature),9100 Wilshire Blvd Ste 100E,"Beverly Hills, CA  90212",(310) 734-0942,CA
Block @ Orange (Esporta),3901 W. Metropolitan Dr.,"Orange, CA  92868",(714) 769-8000,CA
Cerritos - Alondra Blvd,10802 Alondra Blvd.,"Cerritos, CA  90703",(562) 924-8737,CA
Chino,14485 Pipeline Ave.,"Chino, CA  91710",(909) 393-3101,CA
Corona South - Compton Ave,2355 Compton Ave,"South Corona, CA  92881",(951) 898-1178,CA
Culver City,3827 Overland Avenue,"Culver City, CA  90232",(310) 204-2030,CA
Diamond Bar,20801 Golden Springs Dr.,"Diamond Bar, CA  91789",(909) 595-0045,CA
Downey-Firestone,7230 Firestone Blvd,"Downey, CA  90241",(562) 927-5688,CA
Downey-Lakewood Blvd,12074 Lakewood Boulevard,"Downey, CA  90242",(562) 803-3432,CA
Downtown LA Bloc - Flower St.,700 W 7th Street Suite G300,"Los Angeles, CA  90017",(213) 624-3933,CA
Eastlake,2070 Otay Lakes Road,"Chula Vista, CA  91915",(619) 397-7240,CA
Encinitas,201 S. EL Camino Real Suite #A,"Encinitas, CA  92024",(760) 753-5600,CA
Escondido,362 W. EL Norte Pkwy,"Escondido, CA  92026",(760) 738-1347,CA
Fontana,16289 Sierra Lakes Parkway,"Fontana, CA  92336",(909) 743-5922,CA
Fountain Valley (Esporta),10115 Talbert Avenue,"Fountain Valley, CA  92708",(714) 962-1374,CA
Garden Grove,11932 Valley View Street,"Garden Grove, CA  92845",(714) 379-9744,CA
Glendale - Brand Blvd.,144 S Brand Blvd,"Glendale, CA  91205",(818) 638-1762,CA
Glendora,820 S. Grand Avenue,"Glendora, CA  91740",(626) 335-5474,CA
Harbor City,908 W Sepulveda Blvd,"Harbor City, CA  90710",(424) 203-2060,CA
Hawthorne - 147th St.,4949 West 147th Street,"Hawthorne, CA  90250",(310) 844-0653,CA
Hemet,220 North Sanderson Ave,"Hemet, CA  92545",(951) 663-4786,CA
"Highland, CA (Esporta)",28015 Greenspot Rd,"Highland, CA  92346",(909) 742-5131,CA
"Hollywood Blvd, CA",7021 Hollywood Blvd.,"Los Angeles, CA  90028",(323) 462-5199,CA
Hollywood-El Centro Ave,1628 N. EL Centro Avenue,"Los Angeles, CA  90028",(323) 461-0227,CA
Huntington Beach Seacliff,19330 Goldenwest St,"Huntington Beach, CA  92648",(657) 464-2464,CA
Huntington Park,3081 E. Slauson Avenue,"Huntington Park, CA  90255",(323) 589-8935,CA
Inglewood,3531 W. Century Boulevard,"Inglewood, CA  90303",(310) 672-6002,CA
Irvine - Crossroads,3960 Barranca Pkwy,"Irvine, CA  92606",(949) 502-2777,CA
Irvine - Jamboree,2880 Michelle Drive,"Irvine, CA  92606",(714) 505-8958,CA
Irvine - Michelson Dr (Signature),3021 Michelson Drive,"Irvine, CA  92612",(949) 988-5372,CA
Irvine East - Irvine Blvd,6400 Irvine Blvd.,"Irvine, CA  92620",(949) 502-2043,CA
Kearny Mesa,4984 Shawline St,"San Diego, CA  92111",(858) 292-8810,CA
LA Cienega,1833 C. South LA Cienega Blvd,"Los Angeles, CA  90035",(310) 202-6823,CA
LA Habra (Esporta),1621 W. Imperial Hwy.,"La Habra, CA  90631",(562) 697-8899,CA
LA Verne,1275 E. Foothill Blvd.,"La Verne, CA  91750",(909) 344-5397,CA
Lake Elsinore,18550 Dexter Ave,"Lake Elsinore, CA  92530",(951) 579-4183,CA
Lake Forest,29400 Portola Parkway,"Lake Forest, CA  92630",(949) 597-2077,CA
Long Beach/Bellflower,2180 N Bellflower Blvd,"Long Beach, CA  90815",(562) 314-1820,CA
Long Beach-Cherry,2140 East Carson St.,"Long Beach, CA  90807",(562) 997-9176,CA
Long Beach-Downey Ave (Esporta),5810 Downey Avenue,"Long Beach, CA  90805",(562) 272-7255,CA
Long Beach-Pch,4438 E. Pacific Coast Hwy.,"Long Beach, CA  90804",(562) 494-1216,CA
Menifee,29737 Antelope Rd,"Menifee, CA  92584",(951) 309-9017,CA
Miracle Mile,5950 Wilshire Blvd.,"Miracle Mile, CA  90036",(323) 934-6150,CA
