Store_Name,Address,City_State_Zip,Phone_Number,State
Melbourne - Wickham Rd. (Esporta),2447 N Wickham Rd Suite 102,"Melbourne, FL  32935",(321) 216-2280,FL
Miami - Aventura,3455 NE 207th Street,"Miami, FL  33180",(305) 931-3181,FL
Miami - Bird Rd,8310 Bird Road,"Miami, FL  33155",(786) 358-0525,FL
Miami - W. Flagler St,9291 W Flagler St,"Miami, FL  33174",(305) 925-0868,FL
Miami Gardens,1580 NE Miami Gardens Drive,"N. Miami Beach, FL  33179",(305) 940-6249,FL
Miami Gardens - NW 57th Ave (Presale),18508 NW 67th Ave,"Hialeah, FL  33015",(305) 961-5287,FL
Miami West -SW 8th Street,14100 SW 8th Street,"Miami, FL  33184",(305) 222-1041,FL
Miami-Sw 56th St,13838 S.W. 56th Street,"Miami, FL  33175",(305) 380-6969,FL
N Coral Springs - Coral Ridge,5631 Coral Ridge Drive,"Coral Springs, FL  33076",(954) 752-9400,FL
Naples @ Golden Gate / 68th St (Esporta),6800 Golden Gate Parkway,"Naples, FL  34105",(239) 643-7546,FL
Naples @ Vanderbilt Beach Rd,871 Vanderbilt Beach Rd,"Naples, FL  34108",(239) 249-6768,FL
New Tampa,6411 County Line Rd East,"Tampa, FL  33647",(813) 435-6040,FL
North Miami,1801 NE 123rd St Suite 200,"North Miami, FL  33181",(786) 718-1789,FL
Ocoee (Esporta),1560 E.Silver Star Rd,"Ocoee, FL  34761",(407) 965-2139,FL
"Orange City, FL (Esporta)",2629 Enterprise Rd,"Orange City, FL  32763",(386) 878-4582,FL
Orange Park - Blanding Blvd.,"661 Blanding Blvd, Suite 800","Orange Park, FL  32073",(904) 579-2329,FL
Orange Park Blanding @ 295,6000 Lake Gray Blvd,"Jacksonville, FL  32244",(904) 999-3289,FL
Orlando - Goldenrod Rd. (Esporta),5915 South Goldenrod Road,"Orlando, FL  32822",(407) 362-6081,FL
Orlando - Goldenrod Rd. AT 408 (Esporta),189 South Goldenrod Rd,"Orlando, FL  32807",(407) 517-5237,FL
Orlando Metro West,4792 S. Kirkman Road,"Orlando, FL  32811",(407) 362-0645,FL
Oviedo,199 Mitchell Hammock Road,"Oviedo, FL  32765",(407) 977-8177,FL
Palm Beach Gardens/Lake Park,3176 Northlake Blvd,"Palm Beach Gardens, FL  33403",(561) 848-4170,FL
Palm Beach Gardens-Donald Ross (Signature),5260 Donald Ross Rd,"Palm Beach Gardens, FL  33418",(561) 223-6331,FL
Palm Harbor (Esporta),35104 U.S. Highway 19 North,"Palm Harbor, FL  34683",(727) 213-2458,FL
Pembroke Pines - 184th,18445 Pines Blvd.,"Pembroke Pines, FL  33029",(954) 441-5330,FL
Pembroke Pines West/Flamingo,1900 N. Flamingo Road,"W. Pembroke, FL  33028",(954) 447-3840,FL
PGA Blvd @ The Turnpike,7070 Fairway Drive,"Palm Beach Gardens, FL  33418",(561) 273-7080,FL
Plantation - S. University Dr.,1041 South University Dr,"Plantation, FL  33324",(954) 646-5971,FL
Pompano Beach,1000 North Federal Highway,"Pompano Beach, FL  33062",(954) 366-2569,FL
Port Orange,1810 Dunlawton Ave,"Port Orange, FL  32127",(386) 682-2509,FL
Port St Lucie - St Lucie W Blvd,1367 NW St Lucie West Blvd,"Port St Lucie, FL  34986",(772) 224-3950,FL
Port St. Lucie - SW Village,10624 SW Village Parkway,"Port St Lucie, FL  34987",(772) 345-2850,FL
Sanford (Esporta),300 W Lake Mary Blvd,"Sanford, FL  32773",(321) 275-1144,FL
Sarasota - Southgate Mall (Esporta),3501 S Tamiami Trail,"Sarasota, FL  34239",(941) 960-8730,FL
Sarasota Bee Ridge @ I-75,4057 Cattlemen Road,"Sarasota, FL  34233",(941) 225-4772,FL
Sawgrass,13999 West Sunrise Blvd,"Sunrise, FL  33323",(954) 838-7664,FL
Seminole - Park Blvd (Esporta),7635 113th Street,"Seminole, FL  33772",(727) 440-8065,FL
South Miami - Sunset Drive,5701 Sunset Drive Suite#134,"South Miami, FL  33143",(305) 665-7846,FL
Southland-Tpke / S Dixie,20505 South Dixie Highway,"Miami, FL  33189",(305) 232-5500,FL
St. Petersburg @ 22nd Ave North (Esporta),7044 22nd Avenue North,"St. Petersburg, FL  33710",(727) 322-4010,FL
St. Petersburg @ 4th St. North,5900 4th St. N.,"St. Petersburg, FL  33703",(727) 521-1500,FL
Stuart,1901 NW Federal Hwy,"Stuart, FL  34994",(772) 209-3010,FL
Tampa - Cypress Preserve Dr (Esporta),5225 Cypress Preserve Drive,"Tampa, FL  33647",(813) 337-0966,FL
Tampa - Gunn Hwy. (Esporta),5735 Gunn Highway,"Tampa, FL  33625",(813) 960-3783,FL
Tampa @ West Hillsborough Ave (Esporta),11252 West Hillsborough Ave.,"Tampa, FL  33635",(813) 814-1414,FL
Tampa-S Dale Mabry Hwy (Signature),301 S Dale Mabry Hwy,"Tampa, FL  33609",(813) 775-6492,FL
University Park - Cooper Creek,8502 Cooper Creek Blvd,"University Park, FL  34201",(941) 926-6282,FL
Valrico @ State Road 60 E (Esporta),1930 State Road 60 E,"Valrico, FL  33594",(813) 982-4149,FL
W Boynton Beach Blvd (Signature),6683 Boynton Beach Blvd,"Boynton Beach, FL  33437",(561) 770-8395,FL
W Palm Beach / N Military Trail,1925 N. Military Trail,"West Palm Beach, FL  33409",(561) 683-1277,FL
