Store_Name,Address,City_State_Zip,Phone_Number,State
Apple Valley,15135 Galaxie Avenue,"Apple Valley, MN  55124",(952) 432-6085,MN
"Brooklyn Ctr- Shingle Creek, MN",1500 Shingle Creek Crossing,"Brooklyn Center, MN  55430",(763) 567-2037,MN
Brooklyn Park,6600 96th Lane North,"Brooklyn Park, MN  55445",(763) 515-7778,MN
Burnsville,1801 County Road 42 West,"Burnsville, MN  55306",(952) 392-4400,MN
Edina,4175 West 76th Street,"Edina, MN  55435",(612) 235-4831,MN
Hopkins,1710 State Highway 7,"Hopkins, MN  55343",(612) 246-3692,MN
Maplewood,1940 County Road D East,"Maplewood, MN  55109",(651) 355-1655,MN
Minneapolis Uptown,3001 Hennepin Ave South Suite 2210,"Minneapolis, MN  55408",(612) 392-0395,MN
New Brighton,1101 Silver Lake Road,"New Brighton, MN  55112",(651) 674-3186,MN
Oakdale,7360 33rd Street North,"Oakdale, MN  55128",(612) 225-9831,MN
Richfield,6501 Lyndale Avenue S,"Richfield, MN  55423",(612) 861-5505,MN
Roseville - Cleveland Ave N,2420 Cleveland Ave. North,"Roseville, MN  55113",(612) 235-4844,MN
St Paul,1370 University Ave West,"St Paul, MN  55104",(651) 222-9843,MN
St. Louis Park,3555 S Highway 100,"St Louis Park, MN  55416",(763) 392-1802,MN
West St. Paul,1611 Robert St,"West St Paul, MN  55118",(612) 913-5792,MN
