Store_Name,Address,City_State_Zip,Phone_Number,State
Beavercreek AT The Greene (Esporta),4494 Walnut Street,"Beavercreek, OH  45440",(937) 427-0700,OH
Beavercreek/N Fairfield (Esporta),2500-F North Fairfield Rd,"Beavercreek, OH  45431",(937) 912-0063,OH
"Brooklyn - Tiedeman, OH (Esporta)",5000 Tiedeman Road,"Brooklyn, OH  44144",(216) 912-1537,OH
Centerville (Esporta),45 West Alex Bell Road,"Centerville, OH  45459",(937) 684-8160,OH
Columbus - East Broad St. (Esporta),6585 East Broad Street,"Columbus, OH  43213",(614) 892-7092,OH
Columbus Old Hamilton Rd (Esporta),5959 Old Hamilton Rd,"Columbus, OH  43230",(614) 476-4653,OH
Columbus-Goodale Blvd (Esporta),850 Goodale Blvd,"Columbus, OH  43212",(614) 643-0070,OH
Columbus-Graceland Blvd (Esporta),260 Graceland Blvd,"Columbus, OH  43212",(614) 310-0770,OH
Columbus-Polaris Pkwy (Esporta),2100 Polaris Parkway,"Columbus, OH  43240",(614) 430-9210,OH
Cuyahoga Falls (Esporta),1969 Portage Trail,"Cuyahoga Falls, OH  44223",(330) 622-4111,OH
Fairfield Township (Esporta),3312 Princeton Road,"Hamilton, OH  45011",(513) 334-0082,OH
Hilliard-Tanglewood Park Blvd (Esporta),1800 Tanglewood Park Blvd,"Hilliard, OH  43026",(614) 850-8888,OH
Lyndhurst - Legacy Village (Esporta),25145 Cedar Road,"Lyndhurst, OH  44124",(216) 291-8555,OH
Maumee-Conant St (Esporta),1361 Conant Street,"Maumee, OH  43537",(419) 482-7740,OH
Oakley (Esporta),4700 Marburg Ave,"Cincinnati, OH  45209",(513) 297-1121,OH
Symmes-Harpers Point (Esporta),11359 Montgomery Road,"Symmes, OH  45249",(513) 297-1139,OH
Toledo-Holland Sylvania Rd (Esporta),2859 N Holland Sylvania Road,"Toledo, OH  43615",(419) 535-6669,OH
West Chester - Tylersville Rd (Esporta),7730 Dudley Drive,"West Chester, OH  45069",(513) 298-0134,OH
Westlake - Crocker Park (Esporta),131 Market Street,"Westlake, OH  44145",(440) 892-4653,OH
