Store_Name,Address,City_State_Zip,Phone_Number,State
Aliana (Signature),19409 W Bellfort St,"Richmond, TX  77407",(346) 239-7748,TX
Arlington - US 287,5331 W Sublett Rd,"Arlington, TX  76017",(817) 203-0796,TX
Arlington North - I30 & Collins,141 Road TO Six Flags St. W,"Arlington, TX  76011",(817) 469-1384,TX
Arlington South - Little Rd,4850 Little Rd,"Arlington, TX  76017",(817) 478-2492,TX
Austin - Anderson Lane,2020 W Anderson Lane,"Austin, TX  78757",(512) 831-3393,TX
Austin - S. Lamar Blvd.,4001 S Lamar Blvd,"Austin, TX  78704",(512) 652-5779,TX
Austin - Slaughter Lane,1824 W Slaughter Lane,"Austin, TX  78748",(512) 593-4445,TX
Carrollton,4220 Midway Road,"Carrollton, TX  75007",(214) 483-1834,TX
Carrollton - N. Josey LN,3050 N. Josey LN,"Carrollton, TX  75007",(972) 417-0182,TX
Cedar Park - Whitestone Blvd,825 W Whitestone Blvd,"Cedar Park, TX  78613",(512) 546-6263,TX
Coppell (Signature),250 W State Highway 121,"Coppell, TX  75019",(469) 312-5351,TX
Cypress,12304 Barker Cypress Road,"Cypress, TX  77429",(281) 304-6500,TX
Dallas - Greenville Ave.,"5500 Greenville Ave, Suite 100","Dallas, TX  75206",(214) 530-0966,TX
Dallas - Illinois Ave,655 W Illinois Ave Ste 500,"Dallas, TX  75224",(469) 518-9351,TX
Dallas LBJ @ Webb Chapel (Esporta),3029 Forest Lane,"Dallas, TX  75234",(972) 499-0720,TX
Dallas Uptown (Signature),2690 N Haskell Ave,"Dallas, TX  75204",(214) 530-0005,TX
Dallas-Mockingbird LN @ Lemmon,4540 West Mockingbird Lane,"Dallas, TX  75209",(214) 453-4899,TX
Denton (Esporta),1350 South Loop 288,"Denton, TX  76205",(940) 380-2904,TX
Duncanville,114 E. Highway 67,"Duncanville, TX  75137",(972) 499-4889,TX
Eldridge Lakes,6386 North Eldridge Parkway,"Houston, TX  77041",(713) 493-6907,TX
Eldridge Pkwy @ Briar Forest,1555 Eldridge Parkway,"Houston, TX  77077",(281) 558-3801,TX
Euless,2600 Highway 121,"Euless, TX  76039",(817) 283-2115,TX
Fort Worth-Golden Triangle,5901 Golden Triangle Blvd,"Fort Worth, TX  76244",(682) 268-5021,TX
Frisco - Custer Rd,6345 Custer Bridges Rd,"Frisco, TX  75035",(214) 272-6831,TX
Frisco - Dallas Pkwy,5080 Main St,"Frisco, TX  75033",(469) 535-2506,TX
FT. Worth/Ridgmar,6500 Westworth Blvd.,"Westworth, TX  76114",(817) 339-6180,TX
FT. Worth/West 7th Street,2860 Crockett Street,"Fort Worth, TX  76107",(817) 870-1501,TX
Garland - W. Centerville Rd.,1201 W Centerville Road,"Garland, TX  75041",(972) 271-4614,TX
Grand Prairie (Esporta),2803 West Interstate Highway 20,"Grand Prairie, TX  75052",(972) 237-0084,TX
Highland Village,3198 Justin Road (FM 407),"Highland Village, TX  75077",(972) 317-9320,TX
Houston - Gessner/Kempwood Dr,2740 Gessner Rd,"Houston, TX  77080",(346) 561-0360,TX
Houston - Yale And Katy Fwy.,195 Yale St,"Houston, TX  77007",(713) 401-2840,TX
Houston 290 @ Hollister,13350 Northwest Freeway,"Houston, TX  77040",(713) 470-9465,TX
Houston Greenway (Signature),3838 Richmond Ave,"Houston, TX  77027",(713) 481-1909,TX
Houston TX - N Shepherd Dr,4412 North Shepherd Drive,"Houston, TX  77018",(713) 904-7543,TX
Hurst,701 NE Loop 820,"Hurst, TX  76053",(817) 591-1158,TX
Jersey Village,9244 W Sam Houston Parkway N,"Houston, TX  77064",(281) 640-9946,TX
Katy,19550 Restaurant Row,"Houston, TX  77084",(281) 578-0115,TX
Katy - Cinco Ranch,26726 FM 1093,"Richmond, TX  77406",(346) 707-1602,TX
Keller,1861 Main Street,"Keller, TX  76248",(817) 562-3052,TX
Klein,7422 Louetta Rd,"Spring, TX  77379",(281) 374-0048,TX
Lake Highlands,7211 Skillman Street,"Dallas, TX  75231",(214) 341-0115,TX
Langham Creek,17800 FM 529,"Houston, TX  77095",(281) 855-3041,TX
Las Colinas,5550 N. Macarthur Blvd.,"Irving, TX  75038",(972) 580-7528,TX
League City,1220 E. League City Parkway,"League City, TX  77573",(713) 893-5986,TX
Leon Valley,5601 Bandera Rd,"Leon Valley, TX  78238",(210) 682-8086,TX
Lewisville,798 Vista Ridge Mall Drive,"Lewisville, TX  75067",(972) 315-2300,TX
Marq*E,"7620 Katy Freeway, Ste. 200","Houston, TX  77024",(713) 984-8844,TX
Mckinney,2875 S. Central Expressway,"Mckinney, TX  75070",(469) 952-2319,TX
Mckinney - Custer Rd,9050 Falcon View Drive,"Mckinney, TX  75070",(469) 352-9399,TX
Medical Center (Signature),2130 W Holcombe Blvd,"Houston, TX  77030",(713) 666-7811,TX
Missouri City,5402 Highway 6,"Missouri City, TX  77459",(281) 208-8310,TX
Missouri City - Sienna Parkway (Presale),9026 Sienna Crossing Drive,"Missouri City, TX  77459",(346) 245-5002,TX
North Richland Hills,9128 North Tarrant Parkway,"North Richland Hills, TX  76182",(682) 334-8094,TX
"Pasadena, TX",6793 Spencer Hwy,"Pasadena, TX  77505",(281) 241-5699,TX
Pearland East,2850 Pearland Parkway,"Pearland, TX  77581",(281) 971-1555,TX
Plano East - K Avenue,6101 K Ave,"Plano, TX  75074",(972) 517-0294,TX
Plano South - W Pres Gwb Hwy,3701 W. President George W. Bush Hwy,"Plano, TX  75075",(972) 964-5916,TX
Prosper,4900 W University Drive,"Prosper, TX  75078",(469) 296-5003,TX
Richardson (Esporta),1451 E. Beltline Rd,"Richardson, TX  75081",(214) 646-1382,TX
