Store_Name,Address,City_State_Zip,Phone_Number,State
Alexandria,6200 Little River Turnpike,"Alexandria, VA  22312",(703) 637-2204,VA
Alexandria - Beulah St,7867 Heneska Loop,"Alexandria, VA  22315",(571) 302-8389,VA
Arlington - Clark St,3550 S Clark Street,"Arlington, VA  22202",(703) 229-1504,VA
Ashburn (Signature),43150 Broadlands Center Plaza #138,"Ashburn, VA  20148",(703) 936-8412,VA
Herndon (Signature),494 Elden Street,"Herndon, VA  20170",(571) 500-5730,VA
Leesburg,1490 Classic Path Way SE,"Leesburg, VA  20175",(571) 223-5694,VA
Manassas,9946 Liberia Ave,"Manassas, VA  20110",(703) 334-0439,VA
"Springfield Town Center, VA",6565 Springfield Mall,"Springfield, VA  22150",(703) 682-2861,VA
Sterling VA,21074 Dulles Town Circle,"Sterling, VA  20166",(703) 444-0302,VA
Woodbridge,13060 Worth Avenue,"Woodbridge, VA  22192",(703) 398-1373,VA
