Store_Name,Address,City_State_Zip,Phone_Number,State
Auburn - Auburn Way N,1347 Auburn Way North,"Auburn, WA  98002",(253) 263-8049,WA
Ballard (Signature),1416 NW Ballard Way,"Seattle, WA  98107",(206) 508-5030,WA
Bellevue/Kelsey Creek,15053 Main Street,"Bellevue, WA  98007",(425) 698-2575,WA
Burien,14905 4th Ave. SW,"Burien, WA  98166",(206) 701-3446,WA
Covington,27245 172nd Avenue SE,"Covington, WA  98042",(253) 458-0960,WA
Everett,"1402 SE. Everett Mall Way, Ste 138","Everett, WA  98208",(425) 290-9351,WA
Federal Way,35009 Enchanted Parkway South,"Federal Way, WA  98003",(253) 838-5900,WA
Hazel Dell,7607 NE 5th Avenue,"Vancouver, WA  98665",(360) 546-3400,WA
Kent,520 Washington Ave South,"Kent, WA  98032",(253) 859-7815,WA
Kent - SE Kent-Kangley Rd,12922 SE Kent Kangley Rd,"Kent, WA  98030",(253) 220-9847,WA
Kirkland Totem Lake @ I-405 (Signature),12321 120th Place NE,"Kirkland, WA  98034",(425) 298-1331,WA
Lacey,1200 Galaxy Drive,"Lacey, WA  98516",(360) 339-6209,WA
Lynnwood/Hwy 99,19800 Highway 99,"Lynnwood, WA  98036",(425) 245-0673,WA
Mill Creek,15024 Main Street,"Mill Creek, WA  98012",(425) 379-9703,WA
Mukilteo Speedway - Lynnwood,13619 Mukilteo Speedway,"Lynnwood, WA  98087",(206) 480-1103,WA
Puyallup - 156th,10515 156th Street East,"Puyallup, WA  98374",(253) 466-0007,WA
Redondo,27417 Pacific Highway South,"Federal Way, WA  98003",(253) 941-5800,WA
Renton - N Landing Way,715 North Landing Way,"Renton, WA  98057",(206) 922-0350,WA
Renton/Fairwood,14060 SE Petrovitsky Rd,"Renton, WA  98058",(425) 529-9303,WA
Seattle - 31st Ave NE,12015 31st Ave NE,"Seattle, WA  98125",(206) 417-4715,WA
Seattle - Aurora Ave North,13244 Aurora Ave North,"Seattle, WA  98133",(206) 973-0232,WA
Seattle - Roosevelt Way NE (Presale),"6419 12th Ave, Space #20","Seattle, WA  98115",(206) 257-7687,WA
Tacoma - S 72nd St,1905B South 72nd Street,"Tacoma, WA  98408",(253) 533-9387,WA
Tacoma North- Sixth Ave,5915 Sixth Ave,"Tacoma, WA  98406",(253) 590-4118,WA
Tacoma Pacific,15707 Pacific Ave S,"Tacoma, WA  98444",(253) 944-9104,WA
Tukwila,350 Baker Blvd,"Tukwila, WA  98188",(206) 331-4071,WA
Vancouver East,11505 NE Fourth Plain Rd,"Vancouver, WA  98662",(360) 859-0006,WA
West Seattle/ SW Alaska St (Signature),3900 SW Alaska Street,"Seattle, WA  98116",(206) 582-0888,WA
